baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Column7
CGI_10004947,192.883468443085,-1.49123560983771,0.43109333301053,-3.45919432208264,0.000541793866801917,0.00595507528095172
CGI_10004955,23.5717117627388,-1.59580058678143,0.434743900021509,-3.670668149001,0.000241917260386458,0.00325383804643217
CGI_10004960,358.779670475641,-1.32061819318038,0.378486184421115,-3.4892110928705,0.000484448417544505,0.00548831698080544
CGI_10004966,112.757571716483,1.85825121915341,0.371472277562485,5.00239541789451,5.66223005850166E-07,2.39210512163132E-05
CGI_10004967,80.8363571029595,3.25122978987814,0.364597588945724,8.9173101755265,4.7775019288517E-19,3.27258882126342E-16
CGI_10004968,44.3378719889918,-1.4367087217695,0.408019343867604,-3.52117796217938,0.000429634172569796,0.00503690918697353
CGI_10004969,102.285508053537,-1.04402939859385,0.355061734887879,-2.94041654171361,0.00327771287276092,0.022918896427107
CGI_10004982,198.44858648207,-0.857619467238823,0.32732290715259,-2.62010219418899,0.00879034204823081,0.047573013680888
CGI_10004989,698.704766285382,1.58364519984532,0.369448860835537,4.28650719415885,1.81504327121688E-05,0.000410974052538345
CGI_10004997,19.0213715628198,1.54647104472474,0.551676823010549,2.8032191678554,0.00505952740399214,0.0318587444545533
CGI_10005023,393.521715467524,-0.986527469838508,0.343374313843455,-2.873038052253,0.00406545145768596,0.0268510189250746
CGI_10005035,25.883217466631,-1.57231944657889,0.450317003391701,-3.49158356166096,0.000480166243244495,0.00545268711985164
CGI_10005045,27.1947683833525,-1.67998592694232,0.502170769487084,-3.34544746333653,0.000821499205848348,0.00815636275754307
CGI_10005047,324.196238540205,-1.46859483234599,0.317529439736933,-4.62506668220335,3.7447790644202E-06,0.000113288426586087
CGI_10005055,130.216964152914,-1.01826767398085,0.325699557384755,-3.12640177394515,0.00176959608704705,0.0145170457440387
CGI_10005058,89.3760678628951,-1.07599033000918,0.322825734651388,-3.33303765627954,0.000859033148992954,0.00843958905367945
CGI_10005059,85.643746747565,1.61593963306407,0.589239523866142,2.74241555023584,0.00609891303296239,0.0363283080659064
CGI_10005065,31.2186043273501,-1.46319783332828,0.468371342250726,-3.12401229822684,0.00178402999965365,0.0145909787044323
CGI_10005080,119.868953824554,-2.02861398462233,0.517486931027098,-3.92012602249872,8.85026762435252E-05,0.0014713018225996
CGI_10005085,44.7450187374088,1.44988889620917,0.514152211839152,2.81996043744095,0.00480295706458025,0.030533880178538
CGI_10005095,419.186672397446,1.8957873068693,0.491409797484309,3.85785410989864,0.000114386887093939,0.00179831188070636
CGI_10005112,23.1617159422503,1.83777965142047,0.458168652579045,4.01114227495826,6.04256807944702E-05,0.00109027710031791
CGI_10005127,472.943833695123,1.41900574668234,0.334940235479109,4.23659386473098,2.26936076319238E-05,0.000491823044497512
CGI_10005145,145.379401345401,1.10764878065221,0.362447081078444,3.05602897216458,0.00224289582168605,0.0172904911012615
CGI_10005175,292.545336579811,-1.08903971286312,0.375403339532935,-2.90098568174184,0.00371990875319708,0.025179689044215
CGI_10005181,153.772369125971,-0.79216447179075,0.292936002007518,-2.70422367466604,0.00684641862572624,0.0394337264989277
CGI_10005182,305.774184643986,0.986729934244843,0.2895539601132,3.40775838071455,0.00065498864480068,0.00688366148343948
CGI_10005193,17.1525888870557,-1.63242891525197,0.497420575425185,-3.28178808015048,0.00103151096956458,0.00966978513990651
